,Tweets
161,"UNLOCK THE KEY | 28.10.20 | PRE-SAVE NOW! 

https://t.co/FOjzr2phA5 https://t.co/JZzPc7Nua8"
162,@geraldhiras @AMIawards @ifyalyssa @adhitiasofyan Sedaaap bang!🔥
163,@Angelo_Mikha @redrose_records Thank you Mikhaa!🙏🏻🌹
164,@AdibHidayat Thank you Mas Adib!🙏🏻🌹
165,"RT @redrose_records: #ISYANACOMEBACK (1)
@isyanasarasvati https://t.co/nYivqEdWYj"
166,"Let me introduce, @redrose_records 🌹 https://t.co/9Iqi2ATMag"
167,HAHAHA🤣 https://t.co/Wb9KA8CqCx
168,Bersiap aja dulu. Bakalan ada anak baru. https://t.co/Nqg9D6fk1p
169,Btw ini 64 Audio A6T ya
170,RT @masihkecil: 64 Audio A6T 😍😍😍😍😍😍😍😍
171,@rpradipta_ Ini aku di @beyond.the.music.id silahkan di cek IG nya hehe
172,Akhirnya jadi juga🤗❤️ https://t.co/C4VHgftFvr
173,Bangga sekali! Semoga bisa bermanfaat buat banyak orang ya ❤️ https://t.co/WjOQuqtpiW
174,Mohon maaf lahir dan batin semua ❤️ https://t.co/w3JeBKu4BQ
175,TERIMA KASIH SEKALI LAGI!❤️ https://t.co/APtmFnUBFx
176,"RT @Billboard_INA: Satu kata untuk #LEXICONHOMECONCERT
@isyanasarasvati tadi malam? #BillboardID"
177,RT @gamaliel: lexicon+ home concert virtual stage photography by @alain_goenawan https://t.co/xXgADsVhmp
178,RT @ksdays3: syeneng banget ditutup dengan untukhatiyangterluka 👏🏻👏🏻 makasii konser nyanyi bareng dirumah masing2 yang asikeun @isyanasaras…
179,❤️❤️❤️ https://t.co/V5G7w6enEH
180,RT @anditasss: LEXICON+ VIRTUAL HOME CONCERT gokil parahhhhh👏🏻👏🏻👏🏻👏🏻 @isyanasarasvati https://t.co/rhQfeAU2Ms
181,RT @ekaputra_diaz: Thank you kak @isyanasarasvati udah menghadirkan Lexicon+ Virtual Concert yg pecah ini!! Gasabar mau dengerin langsung k…
182,GEMAS https://t.co/dOP9jJ5iwh
183,🤣🤣🤣 https://t.co/U4xo73i1z8
184,PART FAVORITOO HAHAHHA https://t.co/aJS0nPj1De
185,"RT @rintachos: Biarpun #DiRumahAja tapi tetap mau menangos nonton ini, yaolo Teteh @isyanasarasvati pahalamu buanyak pol https://t.co/SDL3L…"
186,"RT @tinalfiana: Tau rasanya pengen jingkrak-jingkrak
Tp nonton konsernya virtual
Gils sihh
Bento @isyanasarasvati ft @iwanfals 
#LEXICONHOM…"
187,RT @pramesshput: Really made my day❤️❤️❤️❤️❤️ Tidak sia2 membuat keputusan di menit2 terakhir + dapet cashback pula wkwkwkw walaupun di ten…
188,RT @brameasy: Thank you @isyanasarasvati virtual concert nya keren banget! 🔥🔥🔥 #LEXICONHOMECONCERT https://t.co/oOZmtD9Jzk
189,RT @fathimafildza: Thank you @isyanasarasvati ✨ The Lexicon+ home concert has saved my day! What a brilliant performance! https://t.co/wvwt…
